event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2012-07-02,2012-07-02 10:43:00.000,2012-07-02 10:52:00.000,2012-07-02 10:57:00.000,M5.6,"(-8, -17)",11515
2012-07-02,2012-07-02 19:59:00.000,2012-07-02 20:07:00.000,2012-07-02 20:13:00.000,M3.8,"(1, -17)",11515
2012-07-02,2012-07-02 23:49:00.000,2012-07-02 23:56:00.000,2012-07-03 00:03:00.000,M2.0,"(2, -16)",11515
2012-07-04,2012-07-04 04:28:00.000,2012-07-04 04:37:00.000,2012-07-04 04:45:00.000,M2.3,"(18, -17)",11515
2012-07-04,2012-07-04 09:47:00.000,2012-07-04 09:55:00.000,2012-07-04 09:57:00.000,M5.3,"(18, -20)",11515
2012-07-04,2012-07-04 12:07:00.000,2012-07-04 12:24:00.000,2012-07-04 12:32:00.000,M2.3,"(0, 0)",11515
2012-07-04,2012-07-04 14:35:00.000,2012-07-04 14:40:00.000,2012-07-04 14:42:00.000,M1.3,"(18, -18)",11515
2012-07-04,2012-07-04 16:33:00.000,2012-07-04 16:39:00.000,2012-07-04 16:48:00.000,M1.8,"(34, 14)",11513
2012-07-04,2012-07-04 22:03:00.000,2012-07-04 22:09:00.000,2012-07-04 22:15:00.000,M4.6,"(0, 0)",11515
2012-07-04,2012-07-04 23:47:00.000,2012-07-04 23:55:00.000,2012-07-05 00:02:00.000,M1.2,"(0, 0)",11515
2012-07-05,2012-07-05 01:05:00.000,2012-07-05 01:10:00.000,2012-07-05 01:15:00.000,M2.4,"(26, -18)",11515
2012-07-05,2012-07-05 02:35:00.000,2012-07-05 02:42:00.000,2012-07-05 02:47:00.000,M2.2,"(0, 0)",11515
2012-07-05,2012-07-05 03:25:00.000,2012-07-05 03:36:00.000,2012-07-05 03:39:00.000,M4.7,"(0, 0)",11515
2012-07-05,2012-07-05 06:49:00.000,2012-07-05 06:58:00.000,2012-07-05 07:05:00.000,M1.1,"(39, -18)",11515
2012-07-05,2012-07-05 07:40:00.000,2012-07-05 07:45:00.000,2012-07-05 07:48:00.000,M1.3,"(0, 0)",11519
2012-07-05,2012-07-05 10:44:00.000,2012-07-05 10:48:00.000,2012-07-05 10:50:00.000,M1.8,"(30, -19)",11515
2012-07-05,2012-07-05 11:39:00.000,2012-07-05 11:44:00.000,2012-07-05 11:49:00.000,M6.1,"(-68, -22)",11515
